"name","symbol","close","var","capmarket","vol"
"Fluor","FLR","481.80","0.00%","54.90B","0.00"
"Bed Bath&Beyond","BBBY","476.00","0.00%","54.38B","0.00"
"Buenaventura Mining ADR","BVNN","229.31","0.00%","54.29B","0.00"
"Mednax","MD","500.18","0.00%","54.15B","0.00"
"Moctezuma","CMOCTEZ","60.50","-0.82%","52.90B","1.57K"
"Transocean","RIGN","81.92","4.98%","51.15B","22.80K"
"SINA Corp","SINAN","885.00","0.00%","51.13B","0.00"
"OMA B","OMAB","128.79","-1.13%","50.73B","360.59K"
"Qualitas Controladora","Q","107.63","-0.03%","48.39B","1.02M"
"ODP","ODP","850.00","0.00%","48.12B","0.00"
"Opko Health","OPK","71.33","4.91%","47.85B","78.00"
"OMA B","OMAB","121.36","-0.30%","47.82B","815.73K"
"Grupo Cementos","GCC","143.03","0.08%","47.36B","118.46K"
"Alpek SAB de CV","ALPEKA","22.48","-1.11%","47.19B","866.65K"
"Grupo Sanborns SAB de CV","GSANBORB1","20.15","0.00%","45.47B","0.00"
"Industrias Bachoco","BACHOCOB","75.60","-0.46%","45.40B","123.02K"
"Promotora y Operadora de Infraestr","PINFRAL","103.98","0.00%","44.66B","0.00"
"Embraer ADR","ERJN","230.00","-0.43%","44.34B","10.00"
"Simec B","SIMECB","92.00","0.55%","43.88B","12.61K"
"Industrias Bachoco","BACHOCOB","69.42","-0.17%","41.63B","321.97K"
"Genworth","GNW","84.61","0.00%","41.20B","0.00"
"Controladora Vuela","VOLARA","35.71","-0.45%","40.98B","663.05K"
"Grupo Nagoin","EDUCA18","33.00","0.92%","40.14B","447.00"
"Alpek SAB de CV","ALPEKA","18.98","2.96%","40.02B","6.47M"
"Vodafone Group ADR","VODN","400.00","3.90%","39.91B","5.00"
"Stabilus","STAN","1.02K","0.00%","39.48B","0.00"
"Banco del Bajio","BBAJIOO","31.70","2.32%","37.72B","1.07M"
"Prologis Property Mexico","FIBRAPL14","43.94","1.29%","37.31B","352.25K"
"Air Transport Services","ATSG","558.00","0.00%","36.95B","0.00"
"FibroGen Inc","FGEN","430.00","0.00%","36.94B","0.00"
"Controladora Vuela","VOLARA","31.50","1.45%","36.93B","978.85K"
"Aleatica","ALEATIC","20.59","-3.96%","35.84B","2.65K"
"Aleatica","ALEATIC","20.89","-0.48%","35.51B","4.28K"
"Concentradora Fibra Danhos","DANHOS13","23.71","-1.08%","35.42B","559.39K"
"Grupo LALA SA de CV","LALAB","14.36","1.05%","35.41B","171.63K"
"Grupo LALA SA de CV","LALAB","14.33","0.69%","35.33B","197.48K"
"Gol Linhas Aereas ADR","GOLN","174.50","0.00%","35.10B","0.00"
"Silicon Motion","SIMON","1.27K","0.00%","34.56B","0.00"
"Banregio Grupo Financiero O","RA","104.38","3.25%","34.33B","1.01M"
"Soriana B","SORIANAB","18.44","-0.32%","33.19B","6.39K"
"Fragua B","FRAGUAB","336.99","-0.89%","32.82B","115.00"
"Rassini SAB de CV","RASSINICPO","82.49","0.00%","32.26B","0.00"
"Banregio Grupo Financiero O","RA","94.74","1.52%","31.12B","634.97K"
"Grupo Comercial Chedraui B","CHDRAUIB","31.48","-1.40%","30.09B","966.92K"
"Oi ADR Pref","OIBRQN","7.43","0.00%","30.08B","0.00"
"GoPro Inc","GPRO","196.19","0.00%","30.00B","0.00"
"Infraestructura Viable","FVIA16","0.00","0.00%","29.28B","0.00"
"BASF","BASN","1.70K","0.00%","27.89B","0.00"
"Alsea","ALSEA","32.23","0.37%","27.04B","447.85K"
"Bolsa Mexicana de Valores A","BOLSAA","44.99","0.97%","26.63B","849.31K"
"Transportadora Gas ADR","TGSN","88.80","0.00%","26.30B","0.00"
"Bolsa Mexicana de Valores A","BOLSAA","42.85","2.41%","25.42B","2.22M"
"Minera Frisco","MFRISCOA1","4.20","0.72%","25.39B","11.39K"
"Now Inc","DNOW","224.50","0.00%","25.17B","0.00"
"Gigante","GIGANTE","25.20","0.00%","25.05B","0.00"
"Grupo Nacional Provincial","GNP","109.90","0.00%","24.59B","0.00"
"Cibanco","FCFE18","28.40","-0.35%","24.18B","9.56K"
"FIBRA Terrafina","TERRA13","30.14","-0.69%","23.83B","361.30K"
"Corporacion Inmobiliaria Vesta SAB","VESTA","39.47","-0.73%","22.40B","801.73K"
"Corporacion Inmobiliaria Vesta SAB","VESTA","39.49","0.66%","22.22B","1.40M"
"KUO A","KUOA","50.50","0.00%","22.18B","0.00"
"Grupo Palacio 1","GPH1","57.80","0.00%","21.84B","0.00"
"Alsea","ALSEA","25.44","4.85%","21.22B","3.38M"
"Genomma Lab B","LABB","20.99","0.24%","21.18B","1.70M"
"JinkoSolar","JKSN","625.00","0.00%","20.94B","0.00"
"KUO B","KUOB","46.97","-0.04%","20.63B","5.12K"
"Hertz Global Holdings","HTZ","38.00","0.00%","19.74B","0.00"
"Genomma Lab B","LABB","19.52","3.20%","19.69B","2.12M"
"Nemak SAB de CV","NEMAKA","6.28","1.46%","19.32B","4.35M"
"Grupo Profuturo","GPROFUT","67.60","-3.43%","19.27B","730.00"
"Grupo Traxion","TRAXIONA","35.65","3.22%","19.16B","712.33K"
"Nemak SAB de CV","NEMAKA","6.20","0.49%","19.07B","6.07M"
"Herdez","HERDEZ","45.73","2.22%","17.88B","62.24K"
"Gentera SAB de CV","GENTERA","11.07","6.27%","17.79B","2.60M"
"GBM O","GBMO","10.50","0.10%","17.23B","30.48K"
"Rotoplas SA de CV","AGUA","34.91","3.59%","16.96B","95.51K"
"Macquarie Mexico Real Estate","FIBRAMQ12","22.90","0.26%","16.95B","827.47K"
"Lamosa","LAMOSA","46.00","0.22%","16.67B","25.05K"
"Gentera SAB de CV","GENTERA","10.64","6.40%","16.63B","15.52M"
"Tec. Reunidas","TREN","236.44","0.00%","16.39B","0.00"
"Bio Pappel SAB DE CV","PAPPEL","57.35","2.41%","16.24B","256.00"
"Rassini SAB de CV A","RASSINIA","41.50","0.00%","16.23B","0.00"
"RLH Properties","RLHA","13.95","0.00%","15.89B","0.00"
"Elementia SA de CV","ELEMENT","14.00","2.56%","15.29B","10.34K"
"Value GF","VALUEGFO","92.17","-1.51%","14.75B","45.56K"
"Heidelbergcement","HEIN","1.73K","0.00%","14.72B","0.00"
"Controladora Nemak","NMKA","2.92","1.04%","14.33B","1.97M"
"DIA","DIDAN","5.57","0.00%","13.77B","0.00"
"Vitro A","VITROA","26.11","2.43%","12.61B","11.47K"
"Elementia SA de CV","ELEMENT","11.30","-3.50%","12.56B","1.29K"
"Bafar B","BAFARB","38.99","0.00%","12.25B","0.00"
"Vitro A","VITROA","24.60","2.46%","11.66B","21.45K"
"Unifin Financiera SAPI de CV SOFOM","UNIFINA","23.48","-3.67%","11.56B","108.59K"
"Fibra MtyPI","FMTY14","11.85","1.02%","11.49B","70.27K"
"Unifin Financiera SAPI de CV SOFOM","UNIFINA","25.01","-3.99%","11.17B","136.51K"
"Invex Control A","INVEXA","68.00","0.00%","11.09B","0.00"
"Grupo Posadas A","POSADASA","22.03","0.00%","10.92B","0.00"
"Minera Frisco","MFRISCOA2","3.91","0.00%","10.59B","0.00"
"Dine A","DINEA","16.00","0.31%","10.17B","212.00"
"McEwen Mining Inc","MUX","26.80","0.00%","9.89B","0.00"
"Dine B","DINEB","14.50","0.00%","9.22B","0.00"
