"name","daily","weekly","monthly","yearly","1_year","3_year"
"American Airlines","0.43","1.58","7.41","43.06","102.94","-46.85"
"Citrix Systems","0","-1.51","-19.66","-11.73","-25.9","31.84"
"Koninklijke KPN","0","0","0","17.1","17.1","7.62"
"Aluminum China ADR","0","10.74","37.16","66.11","155.56","7.28"
"Tenaris","0","0","2.19","41.64","70.75","-42.59"
"Mosaic","2.59","5.94","11.31","64.25","168.32","39.7"
"Mtu Aero Engines Holding AG","0","0","5.48","-0.65","61.22","37.85"
"KB Financial","0","0","9.4","22.99","64.83","1.39"
"Aeroports Paris","0","0","0","-3.12","19.13","-43.17"
"Shinhan","0","0","9.73","5.66","5.66","-13.35"
"Steel Dynamics","0","-3.29","21.58","56.38","117.25","33.68"
"RH","0","-0.71","2.87","38.52","232.63","517.77"
"ABIOMED","1.05","2.27","-14.88","-10.18","18.75",
"Grifols Pref","0","0","1.73","-0.85","-22.97","-19.01"
"Allegion PLC","0","0","0","22.47","15.28","78.9"
"Gap","1.25","-7.8","-4.27","62.5","289.22","3.43"
"Newell Brands","0","0","0","0","3.25","-26.83"
"Autohome ADR","0","0","0","-3.32","21.93","-6.68"
"Teva ADR","0","0","-2.86","7.37","-25.21","-51.22"
"SID Nacional ADR","-2.52","-11.76","2.87","47.57","452.19","272.13"
"Lear","0","0","0","0","12.36","-30.59"
"Bausch Health","5.08","9.87","3.68","49.76","61.04","40.93"
"IPG Photonics","0","4.35","-11.09","-6.19","50.11","-17.66"
"Credicorp","0","0","5.49","5.49","-9.44","-33.98"
"Kingfisher","0","0","85.89","37.96","114.7","29.32"
"Norwegian Cruise Line","0.24","1.35","-2.67","13.69","80.59","-45.4"
"Accor","0","-3.68","-3.68","25.52","39.61","-28.56"
"Western Union","0","0","0","6.82","9.92","39.81"
"Empresas Cablevision","0","0","0","0","0","-13.39"
"Commerzbank","0","0","0","0","0","-23.51"
"Siemens","0","-6.05","-3.8","15.39","38.38","21.01"
"AGNC Invest","0","2.78","2.78","16.72","14.2","-0.16"
"Arca Continental","0.32","0.13","-2.33","13.93","15.49","-5.66"
"Weibo Corp","0","0","0","9.88","19.11","-50.3"
"Fresnillo","-2.33","-8.08","-9.59","-21.87","16.91","-32.25"
"Marathon Oil","0","-3.01","10.45","66.18","62.36","-46.34"
"Cleveland-Cliffs","-2.68","-5.41","0.57","23.6","245.21","117.37"
"Bimbo","-1.79","2.59","-4.8","-7.45","12.61","0.98"
"Flex","0","0","-4.72","-3.65","50.17","2.94"
"Ubisoft Entertainment SA","0","7.13","-8.8","-32.01","-11.59","-29.71"
"Becle","0.19","0.84","-0.37","-4.1","34.18","50.27"
"Crispr Therapeutics","-1.17","9.64","-11.41","-22.58",,
"VAT Group","0","0","0","34.98","44.11",
"Kohls Corp","0","-7.33","-9.66","32.39","166.75","-10.36"
"J Sainsbury","0","9.04","9.04","27.34","22.29","26.08"
"Under Armour A","0.05","0.05","-5.29","26.16","126.43","8.67"
"Lamercial","-1.59","1.96","-3.83","-16.44","47.26","98.22"
"First Solar","-0.79","5.21","-13.43","-23.52","49.26","13.23"
"Berkeley","0","0","0","6.18","9.3","67.5"
"Santander Mexico B","0.82","1.13","3.23","14.97","72.71","-12.81"
"Polaris Industries","0","0","0","45.82","88.31","24.28"
"APA Corp","0","5.32","18.25","50.96","55.37","-49.14"
"YY A","0","0","-13.05","16","39.36","-0.13"
"Cabot Oil&Gas","0","0","6.25","0.15","-21.29","-23.76"
"Grupo Televisa Unit","-0.57","0.14","-0.53","54.22","102.45","-27.64"
"Alcoa","-1.18","-7.43","2.92","55.94","285.26","-24.17"
"Weir Group","0","0","0","66.68","87.63","-5.16"
"GMexico Transportes","0.63","1.34","3.32","11.97","45.22","18.63"
"Timken","0","-0.72","10.01","15.96","83.51","108.43"
"Grupo Carso A1","-1.98","-0.95","-8.09","-13.97","19.95","-6.33"
"Topbuild Corp","0","0","13.6","13.6","113.06","213.79"
"United States Steel","-0.08","-5.46","1.95","42.18","190.38","-30.68"
"Megacable Cpo","2.75","-0.15","-6.16","1.66","10.38","-17.01"
"Nov","0","-5.02","-5.02","20.36","7.46","-61"
"Grupo Financiero Inbursa","0.26","0.83","-1.12","-3.34","34.65","-32.44"
"IENOVA","3.88","-3.64","-0.21","8.92","41.08","3.16"
"JetBlue","0","0","-8.49","18.5","68.05","0.88"
"Colgate-Palmolive","1.38","1.38","4.44","-0.24","4.01","39.03"
"Evercore","0","-0.48","4.64","70.82","85.47","133.17"
"Grupo Aeroportuario del Pacifico B","2.16","1.96","2.44","-4.73","-0.95","16.1"
"Procter&Gamble","-0.49","0.74","2.35","-0.63","4.28","87.99"
"El Puerto de Liverpool C","0.76","7.77","9.53","25.44","67.79","-23.24"
"Asur  B","0.99","10.31","21.36","18.9","20.48","17.34"
"El Puerto de Liverpool","4.82","8.33","13.65","16.78","31.88","-30.4"
